date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:15	183067/183067	---M--	200	added ('OK')	text/html	etag:%22c7210a138cba4dfc86638e585dd773b1%22	https://luma.humatheme.com/Demos/Compact_App_Layout/index.html	C:/My%20Web%20Sites/style/luma.humatheme.com/Demos/Compact_App_Layout/index.html	(from )
00:22:16	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2016%20Oct%202022%2016:22:18%20GMT	https://luma.humatheme.com/robots.txt		(from )
00:22:16	14782/14782	---M--	200	added ('OK')	text/css	etag:%22315641f20ca718539884495530a364bc%22	https://luma.humatheme.com/public/vendor/spinkit.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/vendor/spinkit.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:17	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	https://luma.humatheme.com/public/vendor/perfect-scrollbar.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/vendor/perfect-scrollbar.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:17	66490/66490	---M--	200	added ('OK')	text/css	etag:%22a1ca9d48bb1dd404f60ad2ec0f9d79e9%22	https://luma.humatheme.com/public/css/material-icons.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/css/material-icons.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:17	61460/61460	---M--	200	added ('OK')	text/css	etag:%220ef6617d4809c7befc7bafe4720a7b96%22	https://luma.humatheme.com/public/css/fontawesome.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/css/fontawesome.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:17	197/197	---M--	200	added ('OK')	text/css	etag:%2287097a06bed907ede48b2659a2828487%22	https://luma.humatheme.com/public/css/preloader.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/css/preloader.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:18	705108/705108	---M--	200	added ('OK')	text/css	etag:%2296a201d5c55089d3210d4971d2913302%22	https://luma.humatheme.com/public/css/app.css	C:/My%20Web%20Sites/style/luma.humatheme.com/public/css/app.css	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:19	226207/226207	---M--	200	added ('OK')	text/html	etag:%22c16493d7a7e3f27f66d4c36b4f5d2326%22	https://luma.humatheme.com/Demos/Compact_App_Layout/courses.html	C:/My%20Web%20Sites/style/luma.humatheme.com/Demos/Compact_App_Layout/courses.html	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:20	170172/170172	---M--	200	added ('OK')	text/html	etag:%225e6f5840f1ea848dceb979b41d406cb9%22	https://luma.humatheme.com/Demos/Compact_App_Layout/student-course.html	C:/My%20Web%20Sites/style/luma.humatheme.com/Demos/Compact_App_Layout/student-course.html	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:21	93133/93133	---M--	200	added ('OK')	text/html	etag:%2284e083f078f42694fdbc8e22fafe3aec%22	https://luma.humatheme.com/Demos/Compact_App_Layout/student-lesson.html	C:/My%20Web%20Sites/style/luma.humatheme.com/Demos/Compact_App_Layout/student-lesson.html	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
00:22:22	99494/99494	---M--	200	added ('OK')	text/html	etag:%2271d3ba29b7a19fb0bf086ce05f9f2795%22	https://luma.humatheme.com/Demos/Compact_App_Layout/student-take-lesson.html	C:/My%20Web%20Sites/style/luma.humatheme.com/Demos/Compact_App_Layout/student-take-lesson.html	(from https://luma.humatheme.com/Demos/Compact_App_Layout/index.html)
